EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-20 09:01:47, purchase_requisition={}, production_order={990001}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_2549, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70179}, amount_material=0, time=2019-06-10 14:30:19, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_5623, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70172}, amount_material=0, time=2019-06-10 14:37:05, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_8997, ENTRY_QNT=0, PSTNG_DATE=2019-06-10, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={req2}, activity=goods receipt for purchase order, material={}, purchase_order={70096}, amount_material=0, time=2019-06-10 14:42:18, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_7382, ENTRY_QNT=0, PSTNG_DATE=2019-06-10, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={DPC1018}, activity=goods receipt for purchase order, material={}, purchase_order={70159}, amount_material=0, time=2019-06-10 14:47:04, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_7870, ENTRY_QNT=0, PSTNG_DATE=2019-06-10, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={DPC1015}, activity=goods receipt for purchase order, material={}, purchase_order={70160}, amount_material=0, time=2019-06-10 14:51:20, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_1977, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-10 14:58:14, purchase_requisition={300193}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_3067, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-10 15:08:58, purchase_requisition={300089}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_7845, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70181}, amount_material=0, time=2019-06-10 15:24:17, purchase_requisition={}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_8664, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1018, RESERV_NO=SAMPLE_RES_60, PSTNG_DATE=2019-06-10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={DPC1018}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-10 15:24:35, purchase_requisition={}, production_order={990054}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_8664, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-10}	 | 	(LOG: {required_material={}, activity=confirm production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-06-10 15:24:35, purchase_requisition={}, production_order={990054}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_261, ENTRY_QNT=0, PSTNG_DATE=2019-06-10, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={DPC1018}, activity=goods receipt for purchase order, material={}, purchase_order={70105}, amount_material=0, time=2019-06-10 15:46:07, purchase_requisition={}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_3585, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1018, RESERV_NO=SAMPLE_RES_5501, PSTNG_DATE=2019-06-10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={DPC1018}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-10 15:51:30, purchase_requisition={}, production_order={990089}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_8344, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70134}, amount_material=0, time=2019-06-10 15:55:33, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_3874, CREAT_DATE=2019-06-10, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70182}, amount_material=0, time=2019-06-10 16:46:30, purchase_requisition={300145}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_967, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70138}, amount_material=0, time=2019-06-10 16:49:48, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_5033, CREAT_DATE=2019-06-10, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70183}, amount_material=0, time=2019-06-10 16:54:56, purchase_requisition={300167}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_470, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req1, RESERV_NO=SAMPLE_RES_2759, PSTNG_DATE=2019-06-10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={req1}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-10 17:08:09, purchase_requisition={}, production_order={990081}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_470, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-10}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-10 17:08:09, purchase_requisition={}, production_order={990081}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_5881, CREAT_DATE=2019-06-10, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70184}, amount_material=0, time=2019-06-10 17:08:50, purchase_requisition={300174}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_5249, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70141}, amount_material=0, time=2019-06-10 17:27:18, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_3636, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-10 17:44:52, purchase_requisition={300188}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_1809, ENTRY_QNT=0, PSTNG_DATE=2019-06-10, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={DPC1018}, activity=goods receipt for purchase order, material={}, purchase_order={70176}, amount_material=0, time=2019-06-10 18:02:59, purchase_requisition={}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_2555, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req2, RESERV_NO=SAMPLE_RES_6141, PSTNG_DATE=2019-06-10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={req2}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-10 18:07:28, purchase_requisition={}, production_order={990042}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_2555, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-10}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-10 18:07:28, purchase_requisition={}, production_order={990042}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_5402, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1018, RESERV_NO=SAMPLE_RES_4188, PSTNG_DATE=2019-06-10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={DPC1018}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-10 18:08:56, purchase_requisition={}, production_order={990059}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_8121, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1018, RESERV_NO=SAMPLE_RES_63, PSTNG_DATE=2019-06-10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={DPC1018}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-10 18:14:49, purchase_requisition={}, production_order={990066}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_4442, ENTRY_QNT=0, PSTNG_DATE=2019-06-10, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={DPC1015}, activity=goods receipt for purchase order, material={}, purchase_order={70173}, amount_material=0, time=2019-06-10 18:36:47, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_6475, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70168}, amount_material=0, time=2019-06-10 18:40:47, purchase_requisition={}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_3188, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req1, RESERV_NO=SAMPLE_RES_8856, PSTNG_DATE=2019-06-10, STGE_LOC=0001, DOC_DATE=2019-06-10}	 | 	(LOG: {required_material={req1}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-10 19:52:56, purchase_requisition={}, production_order={990012}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_3188, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-10}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-10 19:52:56, purchase_requisition={}, production_order={990012}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_3636, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-10 21:50:52, purchase_requisition={300188}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_7247, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70165}, amount_material=0, time=2019-06-11 08:50:19, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_5623, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req2}, activity=goods receipt for purchase order, material={}, purchase_order={70172}, amount_material=0, time=2019-06-11 08:53:03, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_1606, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70169}, amount_material=0, time=2019-06-11 09:29:25, purchase_requisition={}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_5221, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1015, RESERV_NO=SAMPLE_RES_5266, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={DPC1015}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 09:43:59, purchase_requisition={}, production_order={990067}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_4570, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req2, RESERV_NO=SAMPLE_RES_5077, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req2}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 10:01:37, purchase_requisition={}, production_order={990070}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_9351, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70178}, amount_material=0, time=2019-06-11 10:02:48, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_5249, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={DPC1015}, activity=goods receipt for purchase order, material={}, purchase_order={70141}, amount_material=0, time=2019-06-11 10:10:52, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_2549, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70179}, amount_material=0, time=2019-06-11 10:35:30, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_3067, CREAT_DATE=2019-06-11, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70185}, amount_material=0, time=2019-06-11 10:50:47, purchase_requisition={300089}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_9351, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={DPC1015}, activity=goods receipt for purchase order, material={}, purchase_order={70178}, amount_material=0, time=2019-06-11 10:52:29, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_6475, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70168}, amount_material=0, time=2019-06-11 11:11:33, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_3644, CREAT_DATE=2019-06-11, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70186}, amount_material=0, time=2019-06-11 11:16:15, purchase_requisition={300196}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_1694, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70170}, amount_material=0, time=2019-06-11 11:29:48, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_1575, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70119}, amount_material=0, time=2019-06-11 11:48:10, purchase_requisition={}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_1396, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req2, RESERV_NO=SAMPLE_RES_3790, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req2}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 11:51:15, purchase_requisition={}, production_order={990022}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_1396, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-11}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-11 11:51:15, purchase_requisition={}, production_order={990022}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_1454, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req2, RESERV_NO=SAMPLE_RES_3774, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req2}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 11:53:57, purchase_requisition={}, production_order={990083}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_1454, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-11}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-11 11:53:57, purchase_requisition={}, production_order={990083}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_1164, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1015, RESERV_NO=SAMPLE_RES_3968, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={DPC1015}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 12:24:55, purchase_requisition={}, production_order={990050}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_3125, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-11 12:31:48, purchase_requisition={300197}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_3684, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req2, RESERV_NO=SAMPLE_RES_9279, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req2}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 12:35:16, purchase_requisition={}, production_order={990017}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_3684, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-11}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-11 12:35:16, purchase_requisition={}, production_order={990017}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_2283, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req1, RESERV_NO=SAMPLE_RES_5876, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req1}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 12:47:14, purchase_requisition={}, production_order={990084}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_5679, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req2}, activity=goods receipt for purchase order, material={}, purchase_order={70118}, amount_material=0, time=2019-06-11 14:01:26, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_6022, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70166}, amount_material=0, time=2019-06-11 14:14:26, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_775, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70150}, amount_material=0, time=2019-06-11 14:27:03, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_6588, CREAT_DATE=2019-06-11, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={DPC1015}, activity=convert to purchase order, material={}, purchase_order={70187}, amount_material=0, time=2019-06-11 14:35:56, purchase_requisition={300155}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_3585, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1015, RESERV_NO=SAMPLE_RES_5501, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={DPC1015}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 14:39:18, purchase_requisition={}, production_order={990089}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_3585, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-11}	 | 	(LOG: {required_material={}, activity=confirm production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-06-11 14:39:18, purchase_requisition={}, production_order={990089}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_8522, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={DPC1015}, activity=goods receipt for purchase order, material={}, purchase_order={70174}, amount_material=0, time=2019-06-11 15:08:56, purchase_requisition={}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_3424, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1018, RESERV_NO=SAMPLE_RES_347, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={DPC1018}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 15:09:36, purchase_requisition={}, production_order={990099}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_3424, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-11}	 | 	(LOG: {required_material={}, activity=confirm production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-06-11 15:09:36, purchase_requisition={}, production_order={990099}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_8387, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req2, RESERV_NO=SAMPLE_RES_1751, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req2}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 15:27:41, purchase_requisition={}, production_order={990092}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_7076, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req1, RESERV_NO=SAMPLE_RES_8086, PSTNG_DATE=2019-06-11, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={req1}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-11 15:37:24, purchase_requisition={}, production_order={990056}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_7076, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-11}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-11 15:37:24, purchase_requisition={}, production_order={990056}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_6906, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-11 15:40:14, purchase_requisition={300186}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_3636, CREAT_DATE=2019-06-11, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70188}, amount_material=0, time=2019-06-11 15:52:23, purchase_requisition={300188}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_5342, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70155}, amount_material=0, time=2019-06-11 15:55:30, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_7633, ENTRY_QNT=0, PSTNG_DATE=2019-06-11, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-11}	 | 	(LOG: {required_material={DPC1018}, activity=goods receipt for purchase order, material={}, purchase_order={70139}, amount_material=0, time=2019-06-11 15:58:56, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_6808, CREAT_DATE=2019-06-11, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70189}, amount_material=0, time=2019-06-11 15:59:38, purchase_requisition={300147}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_6098, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70162}, amount_material=0, time=2019-06-11 16:09:24, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_7734, CREAT_DATE=2019-06-11, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={DPC1018}, activity=convert to purchase order, material={}, purchase_order={70190}, amount_material=0, time=2019-06-11 16:10:20, purchase_requisition={300165}, production_order={}})
